nct_id,Type,Value,Action
NCT00001595,GBM Prior Therapy Gliadel,Unknown,Add
NCT00001686,GBM Prior Therapy Gliadel,Unknown,Add
NCT00002647,GBM Prior Therapy Gliadel,Unknown,Add
NCT00054496,GBM Prior Therapy Gliadel,Unknown,Add
NCT00054756,GBM Prior Therapy Gliadel,Unknown,Add
NCT00085735,GBM Prior Therapy Gliadel,Unknown,Add
NCT00180791,GBM Prior Therapy Gliadel,Unknown,Add
NCT00267865,GBM Prior Therapy Gliadel,Unknown,Add
NCT00268684,GBM Prior Therapy Gliadel,Unknown,Add
NCT00293475,GBM Prior Therapy Gliadel,Unknown,Add
NCT00311857,GBM Prior Therapy Gliadel,Unknown,Add
NCT00352599,GBM Prior Therapy Gliadel,Unknown,Add
NCT00394628,GBM Prior Therapy Gliadel,Unknown,Add
NCT00461188,GBM Prior Therapy Gliadel,Unknown,Add
NCT00470366,GBM Prior Therapy Gliadel,Unknown,Add
NCT00514397,GBM Prior Therapy Gliadel,Unknown,Add
NCT00521183,GBM Prior Therapy Gliadel,Unknown,Add
NCT00532064,GBM Prior Therapy Gliadel,Unknown,Add
NCT00551122,GBM Prior Therapy Gliadel,Unknown,Add
NCT00553943,GBM Prior Therapy Gliadel,Unknown,Add
NCT00570908,GBM Prior Therapy Gliadel,Unknown,Add
NCT00598351,GBM Prior Therapy Gliadel,Unknown,Add
NCT00598949,GBM Prior Therapy Gliadel,Unknown,Add
NCT00647049,GBM Prior Therapy Gliadel,Unknown,Add
NCT00653068,GBM Prior Therapy Gliadel,Unknown,Add
NCT00707343,GBM Prior Therapy Gliadel,Unknown,Add
NCT00766467,GBM Prior Therapy Gliadel,Unknown,Add
NCT00798057,GBM Prior Therapy Gliadel,Unknown,Add
NCT00805103,GBM Prior Therapy Gliadel,Unknown,Add
NCT00822458,GBM Prior Therapy Gliadel,Unknown,Add
NCT00837928,GBM Prior Therapy Gliadel,Unknown,Add
NCT00852501,GBM Prior Therapy Gliadel,Unknown,Add
NCT00870129,GBM Prior Therapy Gliadel,Unknown,Add
NCT00876759,GBM Prior Therapy Gliadel,Unknown,Add
NCT00893945,GBM Prior Therapy Gliadel,Unknown,Add
NCT00895622,GBM Prior Therapy Gliadel,Unknown,Add
NCT00897286,GBM Prior Therapy Gliadel,Unknown,Add
NCT00898079,GBM Prior Therapy Gliadel,Unknown,Add
NCT00916630,GBM Prior Therapy Gliadel,Unknown,Add
NCT00928226,GBM Prior Therapy Gliadel,Unknown,Add
NCT00935090,GBM Prior Therapy Gliadel,Unknown,Add
NCT00939523,GBM Prior Therapy Gliadel,Unknown,Add
NCT00945126,GBM Prior Therapy Gliadel,Unknown,Add
NCT00946673,GBM Prior Therapy Gliadel,Unknown,Add
NCT00950001,GBM Prior Therapy Gliadel,Unknown,Add
NCT00958841,GBM Prior Therapy Gliadel,Unknown,Add
NCT00961090,GBM Prior Therapy Gliadel,Unknown,Add
NCT00978562,GBM Prior Therapy Gliadel,Unknown,Add
NCT00981890,GBM Prior Therapy Gliadel,Unknown,Add
NCT00983398,GBM Prior Therapy Gliadel,Unknown,Add
NCT00992602,GBM Prior Therapy Gliadel,Unknown,Add
NCT01018836,GBM Prior Therapy Gliadel,Unknown,Add
NCT01046123,GBM Prior Therapy Gliadel,Unknown,Add
NCT01051557,GBM Prior Therapy Gliadel,Unknown,Add
NCT01063114,GBM Prior Therapy Gliadel,Unknown,Add
NCT01083966,GBM Prior Therapy Gliadel,Unknown,Add
NCT01106508,GBM Prior Therapy Gliadel,Unknown,Add
NCT01106794,GBM Prior Therapy Gliadel,Unknown,Add
NCT01107522,GBM Prior Therapy Gliadel,Unknown,Add
NCT01117844,GBM Prior Therapy Gliadel,Unknown,Add
NCT01120639,GBM Prior Therapy Gliadel,Unknown,Add
NCT01125046,GBM Prior Therapy Gliadel,Unknown,Add
NCT01137682,GBM Prior Therapy Gliadel,Unknown,Add
NCT01156584,GBM Prior Therapy Gliadel,Unknown,Add
NCT01165632,GBM Prior Therapy Gliadel,Unknown,Add
NCT01165671,GBM Prior Therapy Gliadel,Unknown,Add
NCT01172912,GBM Prior Therapy Gliadel,Unknown,Add
NCT01180816,GBM Prior Therapy Gliadel,Unknown,Add
NCT01182415,GBM Prior Therapy Gliadel,Unknown,Add
NCT01201538,GBM Prior Therapy Gliadel,Unknown,Add
NCT01217996,GBM Prior Therapy Gliadel,Unknown,Add
NCT01222728,GBM Prior Therapy Gliadel,Unknown,Add
NCT01235793,GBM Prior Therapy Gliadel,Unknown,Add
NCT01236560,GBM Prior Therapy Gliadel,Unknown,Add
NCT01246869,GBM Prior Therapy Gliadel,Unknown,Add
NCT01252797,GBM Prior Therapy Gliadel,Unknown,Add
NCT01263821,GBM Prior Therapy Gliadel,Unknown,Add
NCT01272622,GBM Prior Therapy Gliadel,Unknown,Add
NCT01276210,GBM Prior Therapy Gliadel,Unknown,Add
NCT01295944,GBM Prior Therapy Gliadel,Unknown,Add
NCT01301560,GBM Prior Therapy Gliadel,Unknown,Add
NCT01305122,GBM Prior Therapy Gliadel,Unknown,Add
NCT01326104,GBM Prior Therapy Gliadel,Unknown,Add
NCT01331239,GBM Prior Therapy Gliadel,Unknown,Add
NCT01332630,GBM Prior Therapy Gliadel,Unknown,Add
NCT01345370,GBM Prior Therapy Gliadel,Unknown,Add
NCT01356290,GBM Prior Therapy Gliadel,Unknown,Add
NCT01363557,GBM Prior Therapy Gliadel,Unknown,Add
NCT01368133,GBM Prior Therapy Gliadel,Unknown,Add
NCT01377701,GBM Prior Therapy Gliadel,Unknown,Add
NCT01378975,GBM Prior Therapy Gliadel,Unknown,Add
NCT01390948,GBM Prior Therapy Gliadel,Unknown,Add
NCT01399372,GBM Prior Therapy Gliadel,Unknown,Add
NCT01410006,GBM Prior Therapy Gliadel,Unknown,Add
NCT01410370,GBM Prior Therapy Gliadel,Unknown,Add
NCT01414738,GBM Prior Therapy Gliadel,Unknown,Add
NCT01419067,GBM Prior Therapy Gliadel,Unknown,Add
NCT01419834,GBM Prior Therapy Gliadel,Unknown,Add
NCT01424839,GBM Prior Therapy Gliadel,Unknown,Add
NCT01430351,GBM Prior Therapy Gliadel,Unknown,Add
NCT01438307,GBM Prior Therapy Gliadel,Unknown,Add
NCT01441596,GBM Prior Therapy Gliadel,Unknown,Add
NCT01442220,GBM Prior Therapy Gliadel,Unknown,Add
NCT01444209,GBM Prior Therapy Gliadel,Unknown,Add
NCT01445483,GBM Prior Therapy Gliadel,Unknown,Add
NCT01456455,GBM Prior Therapy Gliadel,Unknown,Add
NCT01465672,GBM Prior Therapy Gliadel,Unknown,Add
NCT01466036,GBM Prior Therapy Gliadel,Unknown,Add
NCT01467986,GBM Prior Therapy Gliadel,Unknown,Add
NCT01469247,GBM Prior Therapy Gliadel,Unknown,Add
NCT01473485,GBM Prior Therapy Gliadel,Unknown,Add
NCT01476878,GBM Prior Therapy Gliadel,Unknown,Add
NCT01480583,GBM Prior Therapy Gliadel,Unknown,Add
NCT01484873,GBM Prior Therapy Gliadel,Unknown,Add
NCT01486459,GBM Prior Therapy Gliadel,Unknown,Add
NCT01493219,GBM Prior Therapy Gliadel,Unknown,Add
NCT01494662,GBM Prior Therapy Gliadel,Unknown,Add
NCT01498783,GBM Prior Therapy Gliadel,Unknown,Add
NCT01502917,GBM Prior Therapy Gliadel,Unknown,Add
NCT01503086,GBM Prior Therapy Gliadel,Unknown,Add
NCT01503827,GBM Prior Therapy Gliadel,Unknown,Add
NCT01505569,GBM Prior Therapy Gliadel,Unknown,Add
NCT01508221,GBM Prior Therapy Gliadel,Unknown,Add
NCT01514877,GBM Prior Therapy Gliadel,Unknown,Add
NCT01518621,GBM Prior Therapy Gliadel,Unknown,Add
NCT01535209,GBM Prior Therapy Gliadel,Unknown,Add
NCT01538264,GBM Prior Therapy Gliadel,Unknown,Add
NCT01541800,GBM Prior Therapy Gliadel,Unknown,Add
NCT01542736,GBM Prior Therapy Gliadel,Unknown,Add
NCT01549392,GBM Prior Therapy Gliadel,Unknown,Add
NCT01551680,GBM Prior Therapy Gliadel,Unknown,Add
NCT01556230,GBM Prior Therapy Gliadel,Unknown,Add
NCT01568359,GBM Prior Therapy Gliadel,Unknown,Add
NCT01578668,GBM Prior Therapy Gliadel,Unknown,Add
NCT01592968,GBM Prior Therapy Gliadel,Unknown,Add
NCT01599052,GBM Prior Therapy Gliadel,Unknown,Add
NCT01617733,GBM Prior Therapy Gliadel,Unknown,Add
NCT01619774,GBM Prior Therapy Gliadel,Unknown,Add
NCT01619865,GBM Prior Therapy Gliadel,Unknown,Add
NCT01620138,GBM Prior Therapy Gliadel,Unknown,Add
NCT01621906,GBM Prior Therapy Gliadel,Unknown,Add
NCT01624766,GBM Prior Therapy Gliadel,Unknown,Add
NCT01631552,GBM Prior Therapy Gliadel,Unknown,Add
NCT01640509,GBM Prior Therapy Gliadel,Unknown,Add
NCT01651078,GBM Prior Therapy Gliadel,Unknown,Add
NCT01667640,GBM Prior Therapy Gliadel,Unknown,Add
NCT01679743,GBM Prior Therapy Gliadel,Unknown,Add
NCT01688401,GBM Prior Therapy Gliadel,Unknown,Add
NCT01688713,GBM Prior Therapy Gliadel,Unknown,Add
NCT01689064,GBM Prior Therapy Gliadel,Unknown,Add
NCT01693562,GBM Prior Therapy Gliadel,Unknown,Add
NCT01700569,GBM Prior Therapy Gliadel,Unknown,Add
NCT01702610,GBM Prior Therapy Gliadel,Unknown,Add
NCT01702792,GBM Prior Therapy Gliadel,Unknown,Add
NCT01703481,GBM Prior Therapy Gliadel,Unknown,Add
NCT01703507,GBM Prior Therapy Gliadel,Unknown,Add
NCT01703962,GBM Prior Therapy Gliadel,Unknown,Add
NCT01705548,GBM Prior Therapy Gliadel,Unknown,Add
NCT01706432,GBM Prior Therapy Gliadel,Unknown,Add
NCT01721603,GBM Prior Therapy Gliadel,Unknown,Add
NCT01723020,GBM Prior Therapy Gliadel,Unknown,Add
NCT01724801,GBM Prior Therapy Gliadel,Unknown,Add
