nct_id,Type,Value,Action
NCT00009035,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00060541,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00075387,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00082745,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00089245,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00103038,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00125710,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00152659,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00179907,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00207350,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00301418,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00303849,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00308165,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00313599,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00323076,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00329719,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00330109,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00390299,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00418899,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00445965,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00452959,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00490334,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00528437,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00555399,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00601003,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00628940,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00634231,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00638898,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00686387,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00687765,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00716976,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00724191,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00749723,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00760409,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00769093,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00805376,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00813787,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00821080,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00823459,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00823797,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00826241,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00831324,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00857922,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
