nct_id,Type,Value,Action
NCT02277561,Tag,Musella Foundation,Remove
NCT02092038,Tag,Musella Foundation,Remove
NCT03071913,Tag,Musella Foundation,Remove
NCT02457845,Tag,Musella Foundation,Remove
NCT02603328,Tag,Musella Foundation,Remove
NCT02661282,Tag,Musella Foundation,Remove
NCT01730950,Tag,Musella Foundation,Remove
NCT03047473,Tag,Musella Foundation,Remove
NCT02590497,Tag,Musella Foundation,Remove
NCT01486459,Tag,Musella Foundation,Remove
NCT03052738,Tag,Musella Foundation,Remove
NCT02688569,Tag,Musella Foundation,Remove
NCT03048240,Tag,Musella Foundation,Remove
NCT02981940,Tag,Musella Foundation,Remove
NCT02374242,Tag,Musella Foundation,Remove
NCT03178032,Tag,Musella Foundation,Remove
NCT02916108,Tag,Musella Foundation,Remove
NCT02193347,Tag,Musella Foundation,Remove
NCT03006731,Tag,Musella Foundation,Remove
NCT03331601,Tag,Musella Foundation,Remove
NCT02208362,Tag,Musella Foundation,Remove
NCT02465268,Tag,Musella Foundation,Remove
NCT03050736,Tag,Musella Foundation,Remove
NCT02455245,Tag,Musella Foundation,Remove
NCT03086616,Tag,Musella Foundation,Remove
NCT02455557,Tag,Musella Foundation,Remove
NCT03414944,Tag,Musella Foundation,Remove
NCT02062827,Tag,Musella Foundation,Remove
NCT02230306,Tag,Musella Foundation,Remove
NCT02287428,Tag,Musella Foundation,Remove
NCT03422679,Tag,Musella Foundation,Remove
NCT02653196,Tag,Musella Foundation,Remove
NCT01462695,Tag,Musella Foundation,Remove
NCT02831257,Tag,Musella Foundation,Remove
NCT02345824,Tag,Musella Foundation,Remove
NCT03096431,Tag,Musella Foundation,Remove
NCT01452854,Tag,Musella Foundation,Remove
NCT02768337,Tag,Musella Foundation,Remove
NCT03223103,Tag,Musella Foundation,Remove
NCT03168919,Tag,Musella Foundation,Remove
NCT03295396,Tag,Musella Foundation,Remove
NCT03225963,Tag,Musella Foundation,Remove
NCT02207010,Tag,Musella Foundation,Remove
NCT02843230,Tag,Musella Foundation,Remove
NCT02709616,Tag,Musella Foundation,Remove
NCT00060541,Tag,Musella Foundation,Remove
NCT02655601,Tag,Musella Foundation,Remove
NCT00992602,Tag,Musella Foundation,Remove
NCT03115164,Tag,Musella Foundation,Remove
NCT02213536,Tag,Musella Foundation,Remove
NCT03463733,Tag,Musella Foundation,Remove
NCT03122197,Tag,Musella Foundation,Remove
NCT00089245,Tag,Musella Foundation,Remove
NCT00276640,Tag,Musella Foundation,Remove
NCT03115333,Tag,Musella Foundation,Remove
NCT02509442,Tag,Musella Foundation,Remove
NCT02260531,Tag,Musella Foundation,Remove
NCT02238496,Tag,Musella Foundation,Remove
NCT01116661,Tag,Musella Foundation,Remove
NCT02270034,Tag,Musella Foundation,Remove
