nct_id,Type,Value,Action
NCT00009035,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00060541,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00075387,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00082745,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00089245,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00103038,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00125710,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00152659,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00179907,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00207350,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00301418,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00303849,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00308165,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00313599,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00323076,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00329719,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00330109,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00390299,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00418899,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00445965,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00452959,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00490334,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00528437,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00555399,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00601003,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00628940,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00634231,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00638898,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00686387,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00687765,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00716976,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00724191,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00749723,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00760409,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00769093,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00805376,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00813787,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00821080,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00823459,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00823797,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00826241,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00831324,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT00857922,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
