nct_id,Type,Value,Action
NCT01137123,Tag,StoCAN,Add
NCT01348217,Tag,StoCAN,Add
NCT01389583,Tag,StoCAN,Add
NCT01404156,Tag,StoCAN,Add
NCT01534546,Tag,StoCAN,Add
NCT01665274,Tag,StoCAN,Add
NCT01684904,Tag,StoCAN,Add
NCT01691625,Tag,StoCAN,Add
NCT01691664,Tag,StoCAN,Add
NCT01704664,Tag,StoCAN,Add
NCT01726452,Tag,StoCAN,Add
NCT01738139,Tag,StoCAN,Add
NCT01787539,Tag,StoCAN,Add
NCT01815853,Tag,StoCAN,Add
NCT01882933,Tag,StoCAN,Add
NCT01889303,Tag,StoCAN,Add
NCT01917552,Tag,StoCAN,Add
NCT01924819,Tag,StoCAN,Add
NCT01935778,Tag,StoCAN,Add
NCT01938326,Tag,StoCAN,Add
NCT01946854,Tag,StoCAN,Add
NCT01978444,Tag,StoCAN,Add
NCT01991379,Tag,StoCAN,Add
NCT01996059,Tag,StoCAN,Add
NCT02013154,Tag,StoCAN,Add
NCT02023593,Tag,StoCAN,Add
NCT02027948,Tag,StoCAN,Add
NCT02037048,Tag,StoCAN,Add
NCT02047994,Tag,StoCAN,Add
NCT02076594,Tag,StoCAN,Add
NCT02112214,Tag,StoCAN,Add
NCT02130752,Tag,StoCAN,Add
NCT02139605,Tag,StoCAN,Add
NCT02174549,Tag,StoCAN,Add
NCT02185443,Tag,StoCAN,Add
NCT02191566,Tag,StoCAN,Add
NCT02193594,Tag,StoCAN,Add
NCT02197351,Tag,StoCAN,Add
NCT02205047,Tag,StoCAN,Add
NCT02209441,Tag,StoCAN,Add
NCT02213497,Tag,StoCAN,Add
NCT02216578,Tag,StoCAN,Add
NCT02219854,Tag,StoCAN,Add
NCT02260505,Tag,StoCAN,Add
NCT02279134,Tag,StoCAN,Add
NCT02299648,Tag,StoCAN,Add
NCT02301481,Tag,StoCAN,Add
NCT02313688,Tag,StoCAN,Add
NCT02325999,Tag,StoCAN,Add
NCT02347904,Tag,StoCAN,Add
NCT02349958,Tag,StoCAN,Add
NCT02350517,Tag,StoCAN,Add
NCT02356276,Tag,StoCAN,Add
NCT02359968,Tag,StoCAN,Add
NCT02365441,Tag,StoCAN,Add
NCT02366819,Tag,StoCAN,Add
NCT02381847,Tag,StoCAN,Add
NCT02393248,Tag,StoCAN,Add
NCT02395705,Tag,StoCAN,Add
NCT02406170,Tag,StoCAN,Add
NCT02423278,Tag,StoCAN,Add
NCT02426879,Tag,StoCAN,Add
NCT02430636,Tag,StoCAN,Add
NCT02430701,Tag,StoCAN,Add
NCT02436395,Tag,StoCAN,Add
NCT02444572,Tag,StoCAN,Add
NCT02448953,Tag,StoCAN,Add
NCT02448979,Tag,StoCAN,Add
NCT02450656,Tag,StoCAN,Add
NCT02461043,Tag,StoCAN,Add
NCT02465060,Tag,StoCAN,Add
NCT02465736,Tag,StoCAN,Add
NCT02486601,Tag,StoCAN,Add
NCT02489201,Tag,StoCAN,Add
NCT02489214,Tag,StoCAN,Add
NCT02500199,Tag,StoCAN,Add
NCT02501603,Tag,StoCAN,Add
NCT02509806,Tag,StoCAN,Add
NCT02510469,Tag,StoCAN,Add
NCT02519140,Tag,StoCAN,Add
NCT02545751,Tag,StoCAN,Add
NCT02555358,Tag,StoCAN,Add
NCT02556762,Tag,StoCAN,Add
NCT02570893,Tag,StoCAN,Add
NCT02571036,Tag,StoCAN,Add
NCT02572050,Tag,StoCAN,Add
NCT02573974,Tag,StoCAN,Add
NCT02578368,Tag,StoCAN,Add
NCT02584244,Tag,StoCAN,Add
NCT02589496,Tag,StoCAN,Add
NCT02595086,Tag,StoCAN,Add
NCT02595320,Tag,StoCAN,Add
NCT02601079,Tag,StoCAN,Add
NCT02604615,Tag,StoCAN,Add
NCT02628665,Tag,StoCAN,Add
NCT02628951,Tag,StoCAN,Add
NCT02638766,Tag,StoCAN,Add
NCT02639065,Tag,StoCAN,Add
NCT02640898,Tag,StoCAN,Add
NCT02641925,Tag,StoCAN,Add
NCT02644408,Tag,StoCAN,Add
NCT02648841,Tag,StoCAN,Add
NCT02653521,Tag,StoCAN,Add
NCT02661971,Tag,StoCAN,Add
NCT02676791,Tag,StoCAN,Add
NCT02679495,Tag,StoCAN,Add
NCT02699606,Tag,StoCAN,Add
NCT02712112,Tag,StoCAN,Add
NCT02716688,Tag,StoCAN,Add
NCT02725125,Tag,StoCAN,Add
NCT02734004,Tag,StoCAN,Add
NCT02735057,Tag,StoCAN,Add
NCT02741856,Tag,StoCAN,Add
NCT02744651,Tag,StoCAN,Add
NCT02748551,Tag,StoCAN,Add
NCT02749513,Tag,StoCAN,Add
NCT02763748,Tag,StoCAN,Add
NCT02773524,Tag,StoCAN,Add
NCT02777801,Tag,StoCAN,Add
NCT02784470,Tag,StoCAN,Add
NCT02795988,Tag,StoCAN,Add
NCT02797405,Tag,StoCAN,Add
NCT02800005,Tag,StoCAN,Add
NCT02813967,Tag,StoCAN,Add
NCT02834013,Tag,StoCAN,Add
NCT02837874,Tag,StoCAN,Add
NCT02845479,Tag,StoCAN,Add
NCT02850172,Tag,StoCAN,Add
NCT02852096,Tag,StoCAN,Add
NCT02853474,Tag,StoCAN,Add
NCT02857218,Tag,StoCAN,Add
NCT02858206,Tag,StoCAN,Add
NCT02859415,Tag,StoCAN,Add
NCT02867839,Tag,StoCAN,Add
NCT02880020,Tag,StoCAN,Add
NCT02890979,Tag,StoCAN,Add
NCT02891083,Tag,StoCAN,Add
NCT02892643,Tag,StoCAN,Add
NCT02901301,Tag,StoCAN,Add
NCT02918162,Tag,StoCAN,Add
NCT02923934,Tag,StoCAN,Add
NCT02924714,Tag,StoCAN,Add
NCT02931890,Tag,StoCAN,Add
NCT02934464,Tag,StoCAN,Add
NCT02935634,Tag,StoCAN,Add
NCT02936193,Tag,StoCAN,Add
NCT02937519,Tag,StoCAN,Add
NCT02942329,Tag,StoCAN,Add
NCT02959385,Tag,StoCAN,Add
NCT02962063,Tag,StoCAN,Add
NCT02965976,Tag,StoCAN,Add
NCT02969122,Tag,StoCAN,Add
NCT02969148,Tag,StoCAN,Add
NCT02970539,Tag,StoCAN,Add
NCT02972372,Tag,StoCAN,Add
NCT02979691,Tag,StoCAN,Add
NCT02988921,Tag,StoCAN,Add
NCT02995850,Tag,StoCAN,Add
NCT02998268,Tag,StoCAN,Add
NCT03002064,Tag,StoCAN,Add
NCT03005314,Tag,StoCAN,Add
NCT03006432,Tag,StoCAN,Add
NCT03006705,Tag,StoCAN,Add
NCT03007446,Tag,StoCAN,Add
NCT03008278,Tag,StoCAN,Add
NCT03011255,Tag,StoCAN,Add
NCT03013010,Tag,StoCAN,Add
NCT03013712,Tag,StoCAN,Add
NCT03015675,Tag,StoCAN,Add
NCT03023436,Tag,StoCAN,Add
NCT03025152,Tag,StoCAN,Add
NCT03037385,Tag,StoCAN,Add
NCT03043664,Tag,StoCAN,Add
NCT03044613,Tag,StoCAN,Add
NCT03044743,Tag,StoCAN,Add
NCT03049345,Tag,StoCAN,Add
NCT03057288,Tag,StoCAN,Add
NCT03061058,Tag,StoCAN,Add
NCT03061162,Tag,StoCAN,Add
NCT03076372,Tag,StoCAN,Add
NCT03086291,Tag,StoCAN,Add
NCT03087864,Tag,StoCAN,Add
NCT03092518,Tag,StoCAN,Add
NCT03094351,Tag,StoCAN,Add
NCT03096054,Tag,StoCAN,Add
NCT03104283,Tag,StoCAN,Add
NCT03110926,Tag,StoCAN,Add
NCT03110939,Tag,StoCAN,Add
NCT03115398,Tag,StoCAN,Add
NCT03121729,Tag,StoCAN,Add
NCT03123042,Tag,StoCAN,Add
NCT03129139,Tag,StoCAN,Add
NCT03132922,Tag,StoCAN,Add
NCT03141034,Tag,StoCAN,Add
NCT03144843,Tag,StoCAN,Add
NCT03154190,Tag,StoCAN,Add
NCT03154983,Tag,StoCAN,Add
NCT03159585,Tag,StoCAN,Add
NCT03160924,Tag,StoCAN,Add
NCT03161522,Tag,StoCAN,Add
NCT03161535,Tag,StoCAN,Add
NCT03165721,Tag,StoCAN,Add
NCT03170180,Tag,StoCAN,Add
NCT03170310,Tag,StoCAN,Add
NCT03171389,Tag,StoCAN,Add
NCT03187314,Tag,StoCAN,Add
NCT03190941,Tag,StoCAN,Add
NCT03192735,Tag,StoCAN,Add
NCT03196232,Tag,StoCAN,Add
NCT03196791,Tag,StoCAN,Add
NCT03199586,Tag,StoCAN,Add
NCT03200691,Tag,StoCAN,Add
NCT03213054,Tag,StoCAN,Add
NCT03219593,Tag,StoCAN,Add
NCT03221335,Tag,StoCAN,Add
NCT03222635,Tag,StoCAN,Add
NCT03223376,Tag,StoCAN,Add
NCT03223740,Tag,StoCAN,Add
NCT03228667,Tag,StoCAN,Add
NCT03229096,Tag,StoCAN,Add
NCT03243734,Tag,StoCAN,Add
NCT03246516,Tag,StoCAN,Add
NCT03255070,Tag,StoCAN,Add
NCT03257163,Tag,StoCAN,Add
NCT03257280,Tag,StoCAN,Add
NCT03259867,Tag,StoCAN,Add
NCT03261947,Tag,StoCAN,Add
NCT03263741,Tag,StoCAN,Add
NCT03264807,Tag,StoCAN,Add
NCT03271255,Tag,StoCAN,Add
NCT03274349,Tag,StoCAN,Add
NCT03277144,Tag,StoCAN,Add
NCT03283761,Tag,StoCAN,Add
NCT03284723,Tag,StoCAN,Add
NCT03285906,Tag,StoCAN,Add
NCT03286244,Tag,StoCAN,Add
NCT03291574,Tag,StoCAN,Add
NCT03294252,Tag,StoCAN,Add
NCT03301454,Tag,StoCAN,Add
NCT03303495,Tag,StoCAN,Add
NCT03304210,Tag,StoCAN,Add
NCT03306693,Tag,StoCAN,Add
NCT03308552,Tag,StoCAN,Add
NCT03319459,Tag,StoCAN,Add
NCT03322969,Tag,StoCAN,Add
NCT03328234,Tag,StoCAN,Add
NCT03330561,Tag,StoCAN,Add
NCT03330964,Tag,StoCAN,Add
NCT03331406,Tag,StoCAN,Add
NCT03334591,Tag,StoCAN,Add
NCT03335813,Tag,StoCAN,Add
NCT03342937,Tag,StoCAN,Add
NCT03347630,Tag,StoCAN,Add
NCT03348150,Tag,StoCAN,Add
NCT03349398,Tag,StoCAN,Add
NCT03349827,Tag,StoCAN,Add
NCT03360695,Tag,StoCAN,Add
NCT03375320,Tag,StoCAN,Add
NCT03381651,Tag,StoCAN,Add
NCT03385018,Tag,StoCAN,Add
NCT03385577,Tag,StoCAN,Add
NCT03388047,Tag,StoCAN,Add
NCT03392103,Tag,StoCAN,Add
NCT03393182,Tag,StoCAN,Add
NCT03393403,Tag,StoCAN,Add
NCT03393416,Tag,StoCAN,Add
NCT03396354,Tag,StoCAN,Add
NCT03399071,Tag,StoCAN,Add
NCT03399110,Tag,StoCAN,Add
NCT03399253,Tag,StoCAN,Add
NCT03400592,Tag,StoCAN,Add
NCT03403465,Tag,StoCAN,Add
NCT03409848,Tag,StoCAN,Add
