nct_id,Type,Value,Action
NCT00075387,Tag,Musella Foundation,Add
NCT00147056,Tag,Musella Foundation,Add
NCT00267865,Tag,Musella Foundation,Add
NCT00303849,Tag,Musella Foundation,Add
NCT00659126,Tag,Musella Foundation,Add
NCT00840047,Tag,Musella Foundation,Add
NCT00870129,Tag,Musella Foundation,Add
NCT00887146,Tag,Musella Foundation,Add
NCT01089101,Tag,Musella Foundation,Add
NCT01130077,Tag,Musella Foundation,Add
NCT01166321,Tag,Musella Foundation,Add
NCT01174121,Tag,Musella Foundation,Add
NCT01269853,Tag,Musella Foundation,Add
NCT01272622,Tag,Musella Foundation,Add
NCT01295944,Tag,Musella Foundation,Add
NCT01356290,Tag,Musella Foundation,Add
NCT01434602,Tag,Musella Foundation,Add
NCT01464177,Tag,Musella Foundation,Add
NCT01466686,Tag,Musella Foundation,Add
NCT01473485,Tag,Musella Foundation,Add
NCT01502917,Tag,Musella Foundation,Add
NCT01503086,Tag,Musella Foundation,Add
NCT01505569,Tag,Musella Foundation,Add
NCT01534104,Tag,Musella Foundation,Add
NCT01567202,Tag,Musella Foundation,Add
NCT01604512,Tag,Musella Foundation,Add
NCT01649830,Tag,Musella Foundation,Add
NCT01661400,Tag,Musella Foundation,Add
NCT01668082,Tag,Musella Foundation,Add
NCT01672463,Tag,Musella Foundation,Add
NCT01674582,Tag,Musella Foundation,Add
NCT01700569,Tag,Musella Foundation,Add
NCT01724606,Tag,Musella Foundation,Add
NCT01743950,Tag,Musella Foundation,Add
NCT01765088,Tag,Musella Foundation,Add
NCT01794793,Tag,Musella Foundation,Add
NCT01795313,Tag,Musella Foundation,Add
NCT01811498,Tag,Musella Foundation,Add
NCT01813877,Tag,Musella Foundation,Add
NCT01817751,Tag,Musella Foundation,Add
NCT01822275,Tag,Musella Foundation,Add
NCT01837862,Tag,Musella Foundation,Add
NCT01849146,Tag,Musella Foundation,Add
NCT01857453,Tag,Musella Foundation,Add
NCT01878617,Tag,Musella Foundation,Add
NCT01884740,Tag,Musella Foundation,Add
NCT01887522,Tag,Musella Foundation,Add
NCT01894061,Tag,Musella Foundation,Add
NCT01903330,Tag,Musella Foundation,Add
NCT01904123,Tag,Musella Foundation,Add
